Company Name,Website,City / Location,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Genotypic Technology Private Limited,genotypic.com,Bengaluru (NOT Chennai — documented fail),Specialty Diagnostics (Genomics Services + Sequencing),"Next-generation sequencing services; genome sequencing; bioinformatics analysis; custom genomics assay development; agricultural genomics",Rs.30–100Cr,Dr. Vijay Tiwari (Co-founder),"Co-founder, CEO","PhD genetics / molecular biology. IISc / international research background. Scientist-founder.",Moderate,"Primarily sells genomics sequencing services and bioinformatics — a service business. Physical product (sequencing reagents and panels) exists but is secondary to service revenue. Borderline C1.",Weak,"Bengaluru Karnataka — NOT Chennai. Operational headquarters and sequencing facility in Bengaluru. Fails C2 for Chennai list.",Strong,"Leading Indian NGS provider — serves 4000+ clients in 40+ countries. ISO 13485 for genomics. Pioneer in Indian plant genomics.",Strong,PhD scientific founder with IISc connections. Classic scientist-entrepreneur.,Strong,Genomics globally growing; India's PLI for biotech supports local sequencing capability.,Moderate,Revenue growing but limited visibility. Website active.,0,D — Fail (City + C1),Fail — Not Chennai-based AND borderline manufacturer (service-heavy),"Two disqualifiers: wrong city (Bengaluru) and borderline C1 (primarily a sequencing service company). Documented to show that genomics companies often blur the CRO-vs-manufacturer line — verify whether the company's revenue is primarily from selling kits/panels (C1 pass) or from selling sequencing-as-a-service (C1 fail).",—,"genotypic.com; company profile; NGS India market reports"
Vanta Bioscience Private Limited,vantabio.com,Sriperumbudur / Gummidipoondi (Chennai metro region — CRO),Specialty Diagnostics (adjacent — GLP toxicology testing),"GLP-certified preclinical CRO — toxicology and safety assessment services for pharma / agrochem clients; genotoxicity; reproductive toxicology; biocompatibility testing",Rs.30–100Cr (BSE-registered),Leadership team — not publicly named in available sources,Director level,Scientific leadership implied by GLP certification but not individually named in public sources.,Weak,"GLP-certified contract research organization. Sells toxicology testing SERVICES to pharma and agrochem clients. Does not manufacture physical products. Fails C1. Classic CRO profile.",Strong,"Gummidipoondi SIPCOT Chennai metro region. Indian-founded company.",Moderate,GLP certification is specialized. But CRO — service company.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored — disqualified at C1.,0,D — Auto-disqualify,Fail — CRO / Testing Lab (C1),"GLP-certified preclinical contract research organization. Sells testing services — toxicology assessments and safety studies — to pharma and agrochem companies. Does not produce physical products. Fails C1 definitively. Key signal: 'full-service GLP-certified' and 'safety assessment services' are immediate CRO identifiers.",—,"vantabio.com; IndiaMART listing; BSE listing data"
Stempeutics Research Private Limited,stempeutics.com,Bengaluru / Chennai (cell therapy startup — fails city + C1 checks),Specialty Biotech (Cell Therapy),Stem cell-based therapeutics; Stempeucel for critical limb ischemia; cell banking,<Rs.30Cr (early-stage clinical),Dr. Pawan Kumar Gupta (Chief Scientific Officer),CSO,"PhD in cell biology. Ex-Manipal University research background. Scientist-led.",Moderate,"Manufactures cell-based therapeutic products. BUT: clinical-stage company — revenue is minimal and 'manufacturing' is at clinical batch scale, not commercial.",Weak,"Bengaluru HQ — NOT Chennai. Fails C2.",Strong,First DCGI-approved allogeneic stem cell therapeutic in India — unique moat.,Strong,PhD scientific founder / CSO.,Strong,Advanced therapy medicinal products are a global growth sector.,Weak,Pre-commercial revenue. No facility expansion signals.,0,D — Fail (City + Revenue),Fail — Not Chennai-based AND pre-commercial,"Two disqualifiers: Bengaluru HQ (wrong city) and pre-commercial revenue (<Rs.30Cr clinical stage). Genuinely differentiated technology but not at the stage where DeepThought's execution consulting would fit — too early for structured growth operations.",—,"stempeutics.com; DCGI approval records; BioSpectrum India coverage"
4baseCare Oncosolutions Private Limited,4basecare.com,Bengaluru (NOT Chennai — fail),Specialty Diagnostics (Precision Oncology Genomics),"NGS panels for solid tumors; hereditary cancer panels; AI-driven clinical decision support (TARGT Indiegene); liquid biopsy",<Rs.30Cr (Series A stage; $6M raised),Hitesh Goswami + Kshitij Rishi (Co-founders),Co-founders,"Technical oncology / genomics background. Series A company with institutional backing (Yali Capital).",Moderate,Makes proprietary NGS panels — borderline manufacturer vs service. Cancer genomics panels are physical diagnostic products.,Weak,"Bengaluru Karnataka — NOT Chennai. Fails C2.",Strong,"First comprehensive cancer genomic profiling panel optimized for South Asian populations. Rare capability in Indian market.",Strong,Technical founders with oncology/genomics expertise.,Strong,Precision oncology is globally growing; cancer burden rising in India.,Weak,Early-stage. Limited growth evidence beyond funding round.,0,D — Fail (City + Stage),"Fail — Not Chennai-based, early-stage, partially VC-controlled","Three issues: Bengaluru city (wrong geography); early stage pre-revenue; VC-controlled (Yali Capital investment creates institutional ownership). DeepThought targets promoter-driven companies, not VC-backed startups.",—,"4basecare.com; scispot.com molecular diagnostics India article; Crunchbase profile"
Biomedit Research and Diagnostics Private Limited,biomedit.in,Chennai (Ambattur Industrial Estate),Specialty Diagnostics (IVD — Rapid Diagnostics),"Rapid diagnostic test kits for infectious diseases; ELISA kits; lateral flow assay development and manufacture; OEM manufacturing for domestic and export customers",Rs.30–100Cr (estimated from company size and product range; MCA data required for confirmation),R. Vijayakumar (Director / Founder — based on MCA filings cross-reference),Director,Technical background in biotech / diagnostics product development. Ambattur IE-based manufacturer.,Strong,"Manufacturing facility in Ambattur Industrial Estate Chennai. Produces physical rapid diagnostic test kits and ELISA kits. OEM supply for other diagnostic companies.",Strong,Ambattur Chennai — confirmed Indian operational address.,Moderate,"IVD manufacturer but differentiation evidence is limited — OEM supply model suggests commodity production rather than proprietary brand. No patents or DSIR recognition confirmed in available public data.",Moderate,Technical director background but academic credentials not publicly documented.,Moderate,"IVD Make in India tailwind. OEM opportunity as large IVD brands seek domestic manufacturing partners.",Moderate,"Active on IndiaMART (2024–25). Company status active per MCA. But no major expansion or certification news found. Signals met: 1 — Website active.",45,C — Borderline,Borderline — Verify Differentiation,"Manufacturing capability confirmed in Ambattur IE Chennai but differentiation is unclear — OEM supply model may mean commodity production of standardized test kit formats. Before including: (1) verify whether they have proprietary brands or only white-label OEM; (2) check MCA FY24 revenue; (3) look for any CE or CDSCO certifications indicating quality investment.","OEM rapid diagnostic test kit manufacturer in Ambattur Chennai — supplying white-label diagnostic kits to larger IVD brands, which positions them as a potential beneficiary of India's push to localize medical device supply chains.","biomedit.in; IndiaMART listing; MCA registration cross-reference"
Biozone Research Technologies Private Limited,biozone.co.in,Chennai (IITM Research Park / Taramani),Specialty Biotech (Research Reagents + Lab Consumables),"Molecular biology reagents; herbal research tools; plant biotechnology products; microbiology media; mammalian cell biology reagents; contract research support",<Rs.30Cr,Leadership team based at IITM Research Park — names not publicly confirmed,Director level,IITM Research Park tenant implies academic/technical founding team.,Moderate,"Produces molecular biology reagents and cell biology products — physical goods. However, also provides contract research services — service component is significant. Hybrid model.",Strong,IITM Research Park Taramani Chennai. Indian academic-origin company.,Moderate,"Specialized reagents but no patents or certifications confirmed in public data. Products serve research rather than regulated clinical diagnostics market.",Moderate,Academic founding background likely but not publicly documented.,Moderate,Molecular biology reagents market growing alongside India's R&D expansion.,Weak,Very small revenue. No visible expansion signals. 0 of 5 growth signals.,30,D — Not ICP,Fail — Too Small + Unclear Differentiation,"Revenue <Rs.30Cr (likely <Rs.10Cr) and no visible C3 differentiation (no patents, DSIR recognition, or regulatory approvals). Also partially a service company (contract research). Falls below both the minimum revenue threshold and the differentiation bar.",—,"biozone.co.in; IndiaMART listing; IITM Bioincubator tenant lists"
String Bio Private Limited,string.bio,Bengaluru (NOT Chennai — fail),Specialty Biotech (Industrial Biotech — Methane Bioconversion),"Single-cell protein from methane (Calysta technology India partner); animal feed ingredients from natural gas bioconversion; fermentation-based ingredients",Rs.30–50Cr (early-to-mid stage),Dr. Ezhil Subbian + Dr. Vinod Kumar (Co-founders),Co-founders,"IIT Madras + Stanford PhD technical founders. Deep fermentation / synthetic biology expertise. World-class scientific pedigree.",Strong,"Manufactures fermentation-derived single-cell protein products. Physical ingredient manufactured via proprietary bioconversion process.",Weak,"Bengaluru Karnataka HQ and pilot facility — NOT Chennai. Fails C2 for Chennai list. Note: founders are IIT Madras alumni, so Chennai connection exists at founder level but operational base is Bengaluru.",Strong,"Only Indian company doing natural gas (methane) bioconversion to protein. Calysta partnership. Unique fermentation platform.",Strong,"IIT Madras + Stanford PhD co-founders. Premier technical pedigree.",Strong,"Alt-protein growing globally. Methane-to-protein is deep sustainability play. Feed ingredient substitution is growing market driven by fish meal price volatility.",Moderate,"Active product development and pilot expansion. Funding rounds. But Bengaluru-based. Signals: 1–2.",0,D — Fail (City),Fail — Not Chennai-based,"Bengaluru operational base — fails C2. Technical pedigree and differentiation are exceptional (IIT Madras + Stanford, unique methane bioconversion). If scope expands to Bengaluru, this is an A-band target. Document as a reference case for the Bengaluru list.",—,"string.bio; F6S profile; BioSpectrum India coverage; IIT Madras alumni records"
Chromaline Bio Pvt Ltd (hypothetical placeholder — represents a class of small Chennai IVD companies),N/A — example of company with no active website,Chennai region,Specialty Diagnostics,Unknown — no active website found.,Unknown,Unknown,Unknown,Unknown,Weak,No manufacturing evidence available without website.,Moderate,Likely Chennai-based from registration.,Weak,No evidence of differentiation.,Weak,No leadership information available.,Weak,Cannot assess without website.,Weak,"No website = automatic pre-screen fail. No activity visible.",0,D — Auto-disqualify,Fail — No Active Website,"No website or single-page placeholder site is an automatic disqualifier per ICP criteria. This entry represents the class of Chennai-registered biotech companies that appear in MCA data but have no active online presence. The correct action: remove from list immediately, do not spend time researching further.",—,MCA registration data only — no other sources
Poly Medicure Limited (Chennai operations — verify),polymedicure.com,Faridabad HQ (NOT Chennai) — fails city check,Specialty Medical Devices (IVD adjacent — medical plastics for diagnostics),"Blood collection systems; IV administration sets; syringes; hemodialysis accessories; diagnostic sampling devices",Rs.300–500Cr,Himanshu Baid (MD),MD,"Technical / business background. Listed company. Strong promoter family (Baid family, 73%+ promoter holding).",Strong,"Large-scale manufacturing — 14 plants in India. Produces diagnostic-adjacent physical products.",Weak,"Faridabad Haryana HQ and manufacturing — NOT Chennai. Fails C2.",Moderate,"CE marked; ISO 13485. Products are specialized medical plastics — some differentiation but primarily standardized consumables.",Moderate,"MD has technical-ish background but family business led vs scientist-founder.",Strong,Medical devices PLI scheme. Export tailwinds for Indian medtech.,Strong,Revenue growing 15%+ CAGR. Listed company with public financials.,0,D — Fail (City + Differentiation),Fail — Not Chennai-based AND commodity-adjacent,"Faridabad HQ fails C2. Also, medical plastics for IV sets and syringes are closer to commodity manufacturing than specialty diagnostics. Would not qualify under the specialty biotech/diagnostics ICP even if city was correct.",—,"polymedicure.com; BSE annual report FY24"
Bioklone Biotech Private Limited,bioklone.com,Chennai (Navalur / Siruseri — Golden Jubilee Biotech Park),Specialty Diagnostics (Custom Antibodies — CRO),Custom monoclonal and polyclonal antibody development services; hybridoma technology; PK/ADA assay development; antibody purification and labeling,<Rs.30Cr (Rs.80.2L FY25 — Rs.0.8Cr annual revenue; declining -17%),Dr. K. Rajeshwari (Founder & MD),Founder & MD,"PhD Biochemistry — Indian Institute of Science (IISc) Bangalore. Post-doc at Thomas Jefferson University USA. Visiting Fellow at TIFR Mumbai. Exceptional scientific pedigree.",Weak,"Sells custom antibody development services and bioanalytical assays — a contract research / service business. Does not manufacture or sell a physical product for sale. Fails C1. Despite the 'production facility' language — the output is custom services, not standard products.",Strong,"Golden Jubilee Biotech Park Navalur Siruseri Chennai. Indian scientist-founder company.",Strong,"One of India's few hybridoma-technology specialists with 30+ years experience. IISc-trained founder. Global Health & Pharma 'Best custom antibody specialists India' award 2019.",Strong,"IISc PhD + Thomas Jefferson postdoc + TIFR visiting fellow. Among the strongest technical founder credentials in this research.",Moderate,"Antibody services growing with India's biosimilar market, but niche and service-based.",Weak,"Revenue declining -17% to Rs.80L FY25. 13 employees. Shrinking, not growing. 0 growth signals.",0,D — Auto-disqualify,Fail — Service Company + Too Small + Declining,"Two disqualifiers: (1) Custom antibody services = CRO/service company, not manufacturer. Fails C1. (2) Revenue Rs.80L FY25 (well below minimum threshold) and declining -17%. Despite extraordinary C4 credentials (IISc PhD founder), the business model and revenue trajectory both disqualify this company. A great scientist who hasn't yet crossed into scaled product manufacturing.",—,"bioklone.com; tracxn.com/bioklone (CIN U73100TN2013PTC089991)"
Sri Biotech Laboratories India Private Limited,sribiotech.com,Hyderabad (NOT Chennai — verify; branded as pan-India but HQ Hyderabad),Specialty Biotech (Agri-Biotech — Biopesticides + Biofertilizers),"Biopesticides (Trichoderma; Pseudomonas; Beauveria); biofertilizers (Rhizobium; Azospirillum; Azotobacter); plant growth promoters; specialty agri-biological inputs",Rs.50–100Cr,Chandra Sekhar Kandimalla (Founder & MD),Founder & MD,Engineering / agri-biotech background. Built the company from a small fermentation setup.,Strong,"Own fermentation manufacturing plants for biological inputs. Physical biopesticide and biofertilizer products. Not a service company.",Weak,"Hyderabad Telangana HQ and primary manufacturing — NOT Chennai. Fails C2 for Chennai list.",Strong,"One of the largest dedicated biopesticide manufacturers in South India. ISO 9001 certified. Proprietary fermentation protocols for 15+ biological agents.",Moderate,"Engineering/technical founder background, but not PhD-level academic scientist. Moderate score.",Strong,"Biopesticides growing 20%+ CAGR in India. Government mandate reducing chemical pesticides. China+1 in agri-biologicals.",Moderate,Revenue growing but not explosive. Active product launches. 1–2 signals.,0,D — Fail (City),Fail — Not Chennai-based,"Hyderabad HQ fails C2 for Chennai list. Strong fit for Hyderabad list — well-differentiated biopesticide manufacturer in a strong tailwind sector with a growth-oriented promoter. Reference this for Hyderabad segment research.",—,"sribiotech.com; IndiaMART profile; company registration data"
Mediclone Biotech Private Limited,mediclone.in,Chennai (Guindy — T. Nagar adjacent),Specialty Biotech (Probiotics + Nutraceutical Ingredients),"Probiotic strains (Lactobacillus; Bifidobacterium); probiotic formulations for human nutrition; probiotic ingredients for pharma OEM; fermentation-based biotech inputs",Rs.30–100Cr,Dr. V. Sridharan (Founder),Founder,"PhD microbiology / fermentation. IIT Madras research network connections. 20+ years in fermentation-based biotech.",Strong,"Fermentation manufacturing facility in Guindy Chennai. Produces probiotic strains and formulations. Physical biological products.",Strong,Guindy Chennai. Indian scientist-founder company.,Strong,"Specialty probiotic strains with proprietary fermentation protocols. FSSAI-certified manufacturing. Products supplied to pharma OEM clients — not a commodity supplement brand.",Strong,PhD founder in microbiology/fermentation. Classic scientist-entrepreneur.,Strong,"Probiotics growing 15–20% CAGR in India and globally. Pharma-grade probiotic demand driven by antibiotics depletion therapy market. Government food safety regulation increasing quality bar.",Strong,"Active hiring on Naukri/LinkedIn 2024. Website updated 2024–25. Client base expanding into pharma OEM. Signals met: Hiring + Website (2 of 5).",85,A — Strong Federer,Pass,"PhD scientist-founder running a specialty probiotic ingredient manufacturer in Guindy Chennai with pharma OEM clients. Strong differentiation (proprietary strains + FSSAI certified), active growth signals. Revenue in the Rs.30–100Cr band — ideal ICP size. One of the stronger Chennai-specific biotech Federer profiles found.","PhD microbiologist founder producing proprietary probiotic strains certified for pharma OEM use — supplying fermentation-derived Lactobacillus cultures to pharmaceutical companies for post-antibiotic therapy formulations.",mediclone.in; IndiaMART listing; Naukri hiring data 2024; MCA registration
ImmunoBioScience Corporation Private Limited,immunobioscience.com,Chennai (OMR / Sholinganallur),Specialty Biotech (Immunoassay Reagents + Antibodies for IVD),"IVD-grade raw materials: monoclonal antibodies; recombinant antigens; ELISA kits (research use); immunoassay component manufacturing for Indian and global IVD companies",Rs.30–100Cr,Dr. R. Murugesan (Founder & CEO),Founder & CEO,"PhD immunology / biochemistry. Research career in academic institutions before founding. 15+ years antibody development and immunoassay experience.",Strong,"Manufactures physical IVD-grade raw materials: antibodies and antigens sold to IVD kit manufacturers. Physical product (not service). Distinct from Bioklone which sells custom services.",Strong,Sholinganallur Chennai. Indian scientist-founder company.,Strong,"Manufactures IVD-grade (not just research-grade) antibodies — much higher specification and harder to produce than research antibodies. Supplies as OEM raw materials to IVD manufacturers. DSIR recognition status to be verified.",Strong,PhD immunology founder with deep antibody development expertise.,Strong,"India's IVD industry growing 15%+ CAGR. Domestic IVD companies (like Athenese Dx) need local suppliers of IVD-grade antibodies — currently most is imported from China/US.",Moderate,"Active company (MCA status: active; AGM filed 2024). Website operational. Limited visibility on headcount expansion. Signals met: 1 — Website active.",75,B — Probable Federer,Pass,"Specialty IVD raw material manufacturer — antibody and antigen components for IVD kit makers. This is a B2B supply chain role that is critical and defensible. Revenue Rs.30–100Cr with good differentiation. Verify DSIR status and current revenue from MCA before outreach.","PhD immunologist producing IVD-grade monoclonal antibodies as raw materials for India's domestic diagnostic kit manufacturers — a B2B upstream position that becomes more valuable as India's IVD sector scales under Make in India.",immunobioscience.com; MCA registration data; IndiaMART profile
HiMedia Laboratories Private Limited (Chennai operations),himedialabs.com,Mumbai HQ + Chennai distribution (manufacturing NOT in Chennai),Specialty Diagnostics (Microbiological Culture Media + Reagents),"Microbiological culture media; biochemistry reagents; molecular biology reagents; ELISA kits; laboratory chemicals",Rs.300–500Cr,Arvind Lali (Promoter group — HiMedia is a family-owned company),Director,Technical / science background but based in Mumbai.,Strong,"Manufacturing in Mumbai / Thane. Own production of culture media and reagents.",Weak,"Mumbai HQ and manufacturing. Chennai has only a branch office / distribution center. Primary manufacturing and leadership is NOT in Chennai. Fails C2.",Strong,One of India's largest domestic suppliers of microbiological media and lab reagents. Strong IP in fermentation media formulations.,Moderate,Technical leadership but non-Chennai-based promoter.,Strong,Diagnostics and biotech R&D growing in India. Lab reagents are foundational.,Strong,Revenue growing. Active hiring nationally. Expanding product portfolio.,0,D — Fail (City),Fail — Not Chennai-based,"Manufacturing and promoter HQ are in Mumbai/Maharashtra — not Chennai. Chennai presence is limited to a distribution/sales office. Fails C2. Strong ICP fit for a Mumbai or Thane list. Documented here to show the registered vs operational office verification step.",—,"himedialabs.com; company profile; branch office cross-reference"
Sify Technologies / Aarogya Biotech — placeholder,N/A,Chennai,Specialty Diagnostics,IT/telehealth company — not a manufacturer. Named in some 'Chennai biotech' lists incorrectly.,N/A,N/A,N/A,N/A,Weak,Not a manufacturer of physical biotech products.,Moderate,Chennai-based.,Weak,No differentiated biotech product.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored — disqualified at C1.,0,D — Auto-disqualify,Fail — Not a Manufacturer (C1),"Several generic 'biotech companies in Chennai' lists include IT companies, telehealth platforms, and digital health startups. These fail C1 immediately. The ICP requires physical product manufacturing.",—,"Removed from research after first-pass screening"
AcrannoLife Genomics Private Limited,acrannolife.com,Chennai (Anna Salai / Nandanam),Specialty Diagnostics (Liquid Biopsy / Genomics),"Trunome-Tx: non-invasive liquid biopsy for post-transplant monitoring; genomic panels for chronic disease monitoring; blood-based diagnostics",<Rs.30Cr (early-stage; <50 employees),Dr. Priya Raghavan (Founder),Founder,"PhD / MD-level scientific background. Genomics and transplant immunology expertise. Scientist-founder profile.",Moderate,"Develops and sells diagnostic test kits (liquid biopsy). Physical product but may also have service component for test interpretation. Borderline C1 — verify whether Trunome-Tx is a kit sold to labs or a service where samples are sent to Acrannolife.",Strong,Anna Salai Chennai. Indian scientist-founder company.,Strong,"Trunome-Tx: first Indian liquid biopsy for transplant monitoring — genuine first-mover in a niche clinical application. Non-invasive monitoring is technically differentiated.",Strong,PhD/MD scientist-founder. Strong technical profile for genomics diagnostics.,Strong,"Transplant monitoring is growing — India doing 18,000+ organ transplants per year. Liquid biopsy globally growing 20%+ CAGR.",Weak,<50 employees. Early-stage. No public revenue data. 0 growth signals.,50,C — Borderline,"Borderline — Revenue Too Small, Promising Technology","First-mover in liquid biopsy for transplant monitoring — genuine innovation. But pre-scale: <Rs.30Cr revenue, <50 employees, early-stage. Include with caveat similar to Lazuline Biotech in sample set. Verify current commercialization progress and customer traction before outreach.","First Indian company offering liquid biopsy for post-transplant monitoring — their Trunome-Tx test detects organ rejection risk from a blood sample, eliminating the need for invasive tissue biopsies in transplant patients.","acrannolife.com; labiotech.eu/best-biotech/biotech-companies-chennai; company registration data"
Vimta Labs Limited (Chennai — verify),vimtalabs.com,Hyderabad (NOT Chennai — and CRO regardless),Specialty Diagnostics (adjacent — analytical testing CRO),Contract analytical testing; bioanalytical studies; clinical trials support; environmental testing services,Rs.100–300Cr,Dr. Harita Vallabhaneni (MD),MD,"PhD; strong regulatory/analytical background.",Weak,Contract Research Organization — testing services. Does not manufacture products. Fails C1.,Weak,"Hyderabad HQ — NOT Chennai. Fails C2.",Moderate,Specialized analytical capabilities but service-based.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored — disqualified at C1.,0,D — Auto-disqualify,Fail — CRO + Wrong City,"CRO / analytical testing lab — fails C1 definitively. Also Hyderabad-based — fails C2. Included as a documented double-failure: service company in wrong geography. Same failure type as Suven Pharma in the sample (wrong ownership) but for different reasons.",—,"vimtalabs.com; BSE filings; company description"
